ts,open,high,low,close,volume
2025-05-12 08:00:00,21002.0,21133.0,20978.0,21041.0,57195
2025-05-12 12:00:00,21040.0,21448.0,21024.0,21363.0,40049
2025-05-12 16:00:00,21363.0,21435.0,21335.0,21375.0,20163
2025-05-12 20:00:00,21375.0,21432.0,21295.0,21384.0,40154
2025-05-13 00:00:00,21385.0,21502.0,21380.0,21466.0,15243
2025-05-13 04:00:00,21468.0,21500.0,21465.0,21493.0,1730
2025-05-13 08:00:00,21421.0,21519.0,21287.0,21342.0,56914
2025-05-13 12:00:00,21344.0,21365.0,21314.0,21351.0,12251
2025-05-13 16:00:00,21351.0,21414.0,21314.0,21390.0,15609
2025-05-13 20:00:00,21391.0,21689.0,21381.0,21689.0,50255
2025-05-14 00:00:00,21689.0,21722.0,21591.0,21700.0,17835
2025-05-14 04:00:00,21699.0,21699.0,21665.0,21673.0,1386
2025-05-14 08:00:00,21677.0,21728.0,21581.0,21690.0,44161
2025-05-14 12:00:00,21688.0,21882.0,21682.0,21787.0,30155
2025-05-14 16:00:00,21786.0,21849.0,21737.0,21832.0,20135
2025-05-14 20:00:00,21832.0,21888.0,21755.0,21819.0,38075
2025-05-15 00:00:00,21821.0,21845.0,21748.0,21816.0,10845
2025-05-15 04:00:00,21815.0,21825.0,21802.0,21819.0,656
